estado;sigla;regiao;cidade;populacao;pib;pib_percapita
ALAGOAS;AL;NORDESTE;PORTO DE PEDRAS;10649;37205.45703125;3493.80004883
ALAGOAS;AL;NORDESTE;SANTA LUZIA DO NORTE;7572;53447.09765625;7058.52001953
ALAGOAS;AL;NORDESTE;FLEXEIRAS;12290;45588.03125;3709.36010742
ALAGOAS;AL;NORDESTE;ROTEIRO;6864;38793.6640625;5651.75976562
ALAGOAS;AL;NORDESTE;JUNDIÁ;4698;21836.53515625;4648.04980469
ALAGOAS;AL;NORDESTE;TANQUE D'ARCA;5766;18489.390625;3206.62011719
ALAGOAS;AL;NORDESTE;ARAPIRACA;210521;1658976.875;7880.33984375
ALAGOAS;AL;NORDESTE;OLHO D'ÁGUA DAS FLORES;20555;70390.265625;3424.47998047
ALAGOAS;AL;NORDESTE;VIÇOSA;26830;95608.140625;3563.47998047
ALAGOAS;AL;NORDESTE;MARAVILHA;10110;33863.60546875;3349.52001953
ALAGOAS;AL;NORDESTE;PÃO DE AÇÚCAR;24534;85304.7265625;3477.0
ALAGOAS;AL;NORDESTE;GIRAU DO PONCIANO;36904;111610.8828125;3024.36010742
ALAGOAS;AL;NORDESTE;CHÃ PRETA;7073;26925.03125;3806.72998047
ALAGOAS;AL;NORDESTE;MONTEIRÓPOLIS;7292;22985.1328125;3152.10009766
ALAGOAS;AL;NORDESTE;PALESTINA;5071;15465.23339844;3049.73999023
ALAGOAS;AL;NORDESTE;CAPELA;17366;73067.953125;4207.52978516
ALAGOAS;AL;NORDESTE;FELIZ DESERTO;4568;34067.5078125;7457.85986328
ALAGOAS;AL;NORDESTE;SÃO LUÍS DO QUITUNDE;32871;179677.546875;5466.14013672
ALAGOAS;AL;NORDESTE;PIRANHAS;25107;73379.25;2922.65991211
ALAGOAS;AL;NORDESTE;SÃO JOSÉ DA TAPERA;31361;85124.4453125;2714.34008789
ALAGOAS;AL;NORDESTE;MATRIZ DE CAMARAGIBE;25493;102110.5078125;4005.42993164
ALAGOAS;AL;NORDESTE;ATALAIA;53023;208935.734375;3940.4699707
ALAGOAS;AL;NORDESTE;QUEBRANGULO;11566;43188.9765625;3734.12988281
ALAGOAS;AL;NORDESTE;JOAQUIM GOMES;22436;67053.9296875;2988.67993164
ALAGOAS;AL;NORDESTE;LIMOEIRO DE ANADIA;26415;74192.875;2808.73999023
ALAGOAS;AL;NORDESTE;BARRA DE SÃO MIGUEL;7572;47460.00390625;6267.83007812
ALAGOAS;AL;NORDESTE;JAPARATINGA;7763;30499.59179688;3928.84008789
ALAGOAS;AL;NORDESTE;ESTRELA DE ALAGOAS;17251;48915.7578125;2835.5300293
ALAGOAS;AL;NORDESTE;POÇO DAS TRINCHEIRAS;12463;36296.9296875;2912.37011719
ALAGOAS;AL;NORDESTE;PORTO REAL DO COLÉGIO;18453;59886.03515625;3245.33007812
ALAGOAS;AL;NORDESTE;JEQUIÁ DA PRAIA;11615;108508.890625;9342.12988281
ALAGOAS;AL;NORDESTE;RIO LARGO;67797;364321.25;5373.70996094
ALAGOAS;AL;NORDESTE;PIAÇABUÇU;18087;66745.765625;3690.26000977
ALAGOAS;AL;NORDESTE;MACEIÓ;936314;10264218.0;10962.37011719
ALAGOAS;AL;NORDESTE;COITÉ DO NÓIA;11127;31372.484375;2819.48999023
ALAGOAS;AL;NORDESTE;CRAÍBAS;23294;73514.7890625;3155.94995117
ALAGOAS;AL;NORDESTE;BELO MONTE;7510;30603.25585938;4075.0
ALAGOAS;AL;NORDESTE;COQUEIRO SECO;5525;19754.61328125;3575.5
ALAGOAS;AL;NORDESTE;MAR VERMELHO;4131;15055.91699219;3644.62011719
ALAGOAS;AL;NORDESTE;JARAMATAIA;6140;23547.14648438;3835.04003906
ALAGOAS;AL;NORDESTE;FEIRA GRANDE;21824;67006.5546875;3070.32006836
ALAGOAS;AL;NORDESTE;SÃO MIGUEL DOS CAMPOS;54064;524210.28125;9696.11035156
ALAGOAS;AL;NORDESTE;PARIPUEIRA;10222;44169.84765625;4321.06005859
ALAGOAS;AL;NORDESTE;IGACI;25865;81381.578125;3146.39990234
ALAGOAS;AL;NORDESTE;CARNEIROS;8463;24778.15429688;2927.82006836
ALAGOAS;AL;NORDESTE;CAMPO GRANDE;9909;32337.46289062;3263.43994141
ALAGOAS;AL;NORDESTE;PENEDO;61082;313189.03125;5127.35009766
ALAGOAS;AL;NORDESTE;IGREJA NOVA;23807;129697.7734375;5447.87988281
ALAGOAS;AL;NORDESTE;SANTANA DO IPANEMA;43699;193882.71875;4436.77978516
ALAGOAS;AL;NORDESTE;MURICI;26918;109038.859375;4050.7800293
ALAGOAS;AL;NORDESTE;SÃO JOSÉ DA LAJE;23112;147755.59375;6393.02001953
ALAGOAS;AL;NORDESTE;PINDOBA;3246;14839.16210938;4571.52001953
AMAZONAS;AM;NORTE;ENVIRA;17614;69843.03125;3965.19995117
AMAZONAS;AM;NORTE;NOVA OLINDA DO NORTE;31012;108783.34375;3507.7800293
AMAZONAS;AM;NORTE;MANAUS;1738641;40486108.0;23286.06054688
AMAZONAS;AM;NORTE;RIO PRETO DA EVA;26847;216235.546875;8054.37011719
AMAZONAS;AM;NORTE;COARI;66991;1103350.125;16470.11914062
AMAZONAS;AM;NORTE;APUÍ;18597;146993.34375;7904.14013672
AMAZONAS;AM;NORTE;URUCARÁ;15780;69487.6171875;4403.52001953
AMAZONAS;AM;NORTE;AUTAZES;31774;136269.859375;4288.72021484
AMAZONAS;AM;NORTE;ANAMÃ;8673;41735.99609375;4812.18017578
AMAZONAS;AM;NORTE;NOVO AIRÃO;15915;61709.34765625;3877.42993164
AMAZONAS;AM;NORTE;ITAMARATI;8281;36895.9296875;4455.49023438
AMAZONAS;AM;NORTE;BENJAMIN CONSTANT;31195;116750.1015625;3742.59008789
AMAZONAS;AM;NORTE;TABATINGA;47948;202660.984375;4226.68017578
AMAZONAS;AM;NORTE;CODAJÁS;16291;84273.59375;5173.02001953
AMAZONAS;AM;NORTE;TONANTINS;20286;67153.0078125;3310.31005859
AMAZONAS;AM;NORTE;BOCA DO ACRE;31221;149755.40625;4796.62011719
AMAZONAS;AM;NORTE;EIRUNEPÉ;30901;123005.4375;3980.62988281
AMAZONAS;AM;NORTE;MANAQUIRI;20836;82990.75;3983.05004883
AMAZONAS;AM;NORTE;TEFÉ;64671;293563.5;4539.33984375
AMAZONAS;AM;NORTE;NHAMUNDÁ;18474;86443.9765625;4679.22021484
AMAZONAS;AM;NORTE;IRANDUBA;33884;188022.75;5549.00976562
AMAZONAS;AM;NORTE;BOA VISTA DO RAMOS;13994;53763.04296875;3841.86010742
AMAZONAS;AM;NORTE;ITACOATIARA;89440;919967.375;10285.86035156
AMAZONAS;AM;NORTE;ALVARÃES;13566;53516.7578125;3944.91992188
AMAZONAS;AM;NORTE;BORBA;32496;119983.046875;3692.23999023
AMAZONAS;AM;NORTE;AMATURÁ;8828;34505.6796875;3908.65991211
AMAZONAS;AM;NORTE;GUAJARÁ;15031;63766.28515625;4242.31982422
AMAZONAS;AM;NORTE;CAREIRO DA VÁRZEA;24704;112120.0625;4538.54003906
AMAZONAS;AM;NORTE;ATALAIA DO NORTE;14715;54603.19140625;3710.7199707
AMAZONAS;AM;NORTE;URUCURITUBA;18541;67527.9609375;3642.09008789
AMAZONAS;AM;NORTE;NOVO ARIPUANÃ;18952;85700.7265625;4521.99023438
